index,num_features,mean_accuracy,mean_time
1,1,0.07465104758739471,0.027750208973884583
2,1,0.09277605265378952,0.011861156672239304
3,2,0.17254166305065155,0.01618819311261177
4,1,0.10585936903953552,0.007073035929352045
5,2,0.19080208241939545,0.016496725380420685
6,2,0.2574010193347931,0.022428397089242935
7,3,0.3805885314941406,0.10839588195085526
8,1,0.11165625602006912,0.009327774867415428
9,2,0.20060937106609344,0.011044696904718876
10,2,0.28476041555404663,0.011061231605708599
11,3,0.414000004529953,0.08006809651851654
12,2,0.2764374911785126,0.02449832111597061
13,3,0.4127500057220459,0.02319963276386261
14,3,0.49331772327423096,0.012249589897692204
15,4,0.604385495185852,0.2663869261741638
16,1,0.11912500858306885,0.08268236368894577
17,2,0.19685937464237213,0.010235088877379894
18,2,0.2462083101272583,0.013985289260745049
19,3,0.3735728859901428,0.011137677356600761
20,2,0.25370311737060547,0.024672843515872955
21,3,0.377015620470047,0.07151482254266739
22,3,0.4583541750907898,0.011121867224574089
23,4,0.5631614923477173,0.012072757817804813
24,2,0.25510936975479126,0.00984418485313654
25,3,0.38563016057014465,0.011607940308749676
26,3,0.4898749887943268,0.01167531218379736
27,4,0.6067811846733093,0.01148904673755169
28,3,0.46944788098335266,0.025693494826555252
29,4,0.5862448215484619,0.011646517552435398
30,4,0.6545156836509705,0.011192919686436653
31,5,0.736411452293396,0.232611283659935
32,1,0.11972396075725555,0.009529132395982742
33,2,0.2022343873977661,0.012501535937190056
34,2,0.2473333477973938,0.009953922592103481
35,3,0.3878228962421417,0.01203841995447874
36,2,0.23315104842185974,0.01023428700864315
37,3,0.37292182445526123,0.07896813005208969
38,3,0.420463502407074,0.010998407378792763
39,4,0.5596771240234375,0.01259603351354599
40,2,0.2966666519641876,0.01013479009270668
41,3,0.43140101432800293,0.011351470835506916
42,3,0.5034947991371155,0.010703328996896744
43,4,0.6313436627388,0.02938304841518402
44,3,0.4258021116256714,0.011019746772944927
45,4,0.5558593273162842,0.012069093063473701
46,4,0.6185052394866943,0.028626687824726105
47,5,0.7159738540649414,0.028155552223324776
48,2,0.27533331513404846,0.026744499802589417
49,3,0.3992135524749756,0.07193945348262787
50,3,0.46495315432548523,0.030405819416046143
51,4,0.5862916111946106,0.010883073322474957
52,3,0.41744789481163025,0.012002825736999512
53,4,0.5403489470481873,0.011204803362488747
54,4,0.6013177633285522,0.028625261038541794
55,5,0.690234363079071,0.08417089283466339
56,3,0.4762135446071625,0.01064420398324728
57,4,0.6025676727294922,0.03237360343337059
58,4,0.6721614599227905,0.011166028678417206
59,5,0.7505364418029785,0.028373008593916893
60,4,0.5875104069709778,0.011477010324597359
61,5,0.683927059173584,0.02991187945008278
62,5,0.7485364079475403,0.03670142963528633
63,6,0.8080416321754456,0.23813840746879578
64,1,0.09617186337709427,0.00965694710612297
65,2,0.19233854115009308,0.010671716183423996
66,2,0.23734895884990692,0.013223713263869286
67,3,0.38691145181655884,0.011370322667062283
68,2,0.22594790160655975,0.02587905153632164
69,3,0.38104161620140076,0.012214936316013336
70,3,0.4443229138851166,0.012294767424464226
71,4,0.5763124823570251,0.02881765365600586
72,2,0.22904688119888306,0.026175105944275856
73,3,0.3842499554157257,0.01121274009346962
74,3,0.4838073253631592,0.08579039573669434
75,4,0.6177760362625122,0.011144355870783329
76,3,0.44213542342185974,0.011038882657885551
77,4,0.5900052785873413,0.01126024778932333
78,4,0.6556927561759949,0.026814157143235207
79,5,0.7423853874206543,0.01571481116116047
80,2,0.23885418474674225,0.010422319173812866
81,3,0.3813750147819519,0.011108407750725746
82,3,0.4328489601612091,0.013204274699091911
83,4,0.571557343006134,0.013057840056717396
84,3,0.41921359300613403,0.011785018257796764
85,4,0.5540937781333923,0.02915615402162075
86,4,0.6248384714126587,0.028403902426362038
87,5,0.7079688310623169,0.015945089980959892
88,3,0.43456247448921204,0.01092439517378807
89,4,0.5786668062210083,0.07911171764135361
90,4,0.6536822319030762,0.012854757718741894
91,5,0.7473906874656677,0.03158274665474892
92,4,0.6231979727745056,0.01179236639291048
93,5,0.7228125333786011,0.027841558679938316
94,5,0.7763437032699585,0.012273628264665604
95,6,0.8323646187782288,0.03141322731971741
96,2,0.24606771767139435,0.08276669681072235
97,3,0.3966614305973053,0.07129956781864166
98,3,0.44480204582214355,0.01203986257314682
99,4,0.5877656936645508,0.03814011812210083
100,3,0.4133698046207428,0.010948099195957184
101,4,0.5536927580833435,0.01139284297823906
102,4,0.5956665873527527,0.012022397480905056
103,5,0.7030364871025085,0.028262607753276825
104,3,0.4543333053588867,0.022639399394392967
105,4,0.6022082567214966,0.011968123726546764
106,4,0.6517030000686646,0.011646144092082977
107,5,0.7524635195732117,0.012232122011482716
108,4,0.5838072896003723,0.010998692363500595
109,5,0.6965416669845581,0.030975623056292534
110,5,0.7387447357177734,0.011784962378442287
111,6,0.8125104308128357,0.03638330101966858
112,3,0.47046875953674316,0.03010258451104164
113,4,0.5996302962303162,0.011498159728944302
114,4,0.6410104036331177,0.011555965058505535
115,5,0.729520857334137,0.012407258152961731
116,4,0.5887917876243591,0.011244116351008415
117,5,0.6943436861038208,0.03242306038737297
118,5,0.7343438267707825,0.029063519090414047
119,6,0.8018177151679993,0.017043938860297203
120,4,0.6438697576522827,0.012005563825368881
121,5,0.7389687299728394,0.012371447868645191
122,5,0.7835364937782288,0.012163674458861351
123,6,0.8376508951187134,0.027425989508628845
124,5,0.7181041836738586,0.012215135619044304
125,6,0.7954948544502258,0.03305621072649956
126,6,0.8307344317436218,0.03186939284205437
127,7,0.8784167766571045,0.30986812710762024
128,1,0.09244270622730255,0.010107473470270634
129,2,0.1751197725534439,0.010388772934675217
130,2,0.25146353244781494,0.010102000087499619
131,3,0.39951562881469727,0.011570153757929802
132,2,0.23657813668251038,0.025927133858203888
133,3,0.36605730652809143,0.010983091779053211
134,3,0.49832814931869507,0.02932743728160858
135,4,0.6110624670982361,0.028170742094516754
136,2,0.24791668355464935,0.010505829937756062
137,3,0.38686978816986084,0.011543923988938332
138,3,0.5187499523162842,0.023756563663482666
139,4,0.6352083086967468,0.011200383305549622
140,3,0.47749999165534973,0.012189659290015697
141,4,0.5994948148727417,0.011485738679766655
142,4,0.6769479513168335,0.029261542484164238
143,5,0.7511144876480103,0.012249334715306759
144,2,0.22620312869548798,0.011228488758206367
145,3,0.3583385646343231,0.0112256845459342
146,3,0.4657239317893982,0.03372342139482498
147,4,0.5871875882148743,0.020126063376665115
148,3,0.4302031099796295,0.010998483747243881
149,4,0.5617917776107788,0.028814071789383888
150,4,0.6602238416671753,0.011088022030889988
151,5,0.7373437285423279,0.02893022820353508
152,3,0.44804689288139343,0.0112818768247962
153,4,0.5807864665985107,0.011176865547895432
154,4,0.6810364723205566,0.011757701635360718
155,5,0.760385274887085,0.020658206194639206
156,4,0.639255166053772,0.011166124604642391
157,5,0.7306458353996277,0.03176683932542801
158,5,0.7863438129425049,0.011556727811694145
159,6,0.8397500514984131,0.012731843627989292
160,2,0.26139581203460693,0.08228468149900436
161,3,0.4118906259536743,0.011038403958082199
162,3,0.4797760844230652,0.011284437961876392
163,4,0.6202031373977661,0.02821572870016098
164,3,0.40530726313591003,0.011853606440126896
165,4,0.5553123950958252,0.030304260551929474
166,4,0.6256250143051147,0.011157767847180367
167,5,0.7232031226158142,0.030054301023483276
168,3,0.4755311906337738,0.011401836760342121
169,4,0.6169322729110718,0.0786934345960617
170,4,0.6840311884880066,0.012649686075747013
171,5,0.7656823396682739,0.0299187321215868
172,4,0.6005052328109741,0.012416761368513107
173,5,0.7124635577201843,0.027302011847496033
174,5,0.7600051760673523,0.011904124170541763
175,6,0.8229897022247314,0.013375787995755672
176,3,0.4694114625453949,0.011413026601076126
177,4,0.5986198782920837,0.011376054026186466
178,4,0.669755220413208,0.012079096399247646
179,5,0.7500261664390564,0.012694806791841984
180,4,0.5849478840827942,0.02870916947722435
181,5,0.6913750171661377,0.012083807960152626
182,5,0.7533281445503235,0.033228691667318344
183,6,0.8124791979789734,0.03070252761244774
184,4,0.6539478898048401,0.011638494208455086
