index,num_features,mean_accuracy,mean_time
1,1,0.6465243101119995,0.23930653929710388
2,1,0.611766517162323,0.24486640095710754
3,2,0.6879783868789673,0.20070041716098785
4,1,0.5471940040588379,0.02443435974419117
5,2,0.6827169060707092,0.09254395216703415
6,2,0.6411033272743225,0.08977364003658295
7,3,0.6742665767669678,0.329870343208313
8,1,0.5323660373687744,0.024903694167733192
9,2,0.6817602515220642,0.08630547672510147
10,2,0.609215497970581,0.06904599815607071
11,3,0.6709182262420654,0.42203930020332336
12,2,0.5339603424072266,0.032988790422677994
13,3,0.6658164262771606,0.13382916152477264
14,3,0.6187819838523865,0.1620001494884491
15,4,0.6757016181945801,0.2776327431201935
16,1,0.7338967323303223,0.04907343536615372
17,2,0.7657844424247742,0.1248878538608551
18,2,0.720982015132904,0.13436439633369446
19,3,0.7458545565605164,0.4802503287792206
20,2,0.7391582131385803,0.04705255851149559
21,3,0.764190137386322,0.18378908932209015
22,3,0.7166773080825806,0.20541241765022278
23,4,0.7536671757698059,0.2550554871559143
24,2,0.7391581535339355,0.019028574228286743
25,3,0.7629145979881287,0.16786488890647888
26,3,0.7055166363716125,0.28999558091163635
27,4,0.7495216727256775,0.31376874446868896
28,3,0.7353315353393555,0.05925317853689194
29,4,0.7595663666725159,0.16856850683689117
30,4,0.7101403474807739,0.18404342234134674
31,5,0.7530294060707092,0.26956531405448914
32,1,0.7326211333274841,0.010047349147498608
33,2,0.7700892090797424,0.07740268856287003
34,2,0.7330995202064514,0.15564315021038055
35,3,0.752391517162323,0.2886921763420105
36,2,0.7291135787963867,0.046106066554784775
37,3,0.7680165767669678,0.1113354042172432
38,3,0.7122129797935486,0.12142203003168106
39,4,0.7594069838523865,0.21999391913414001
40,2,0.7281568646430969,0.011310220696032047
41,3,0.7713648080825806,0.14033661782741547
42,3,0.7126912474632263,0.1420658528804779
43,4,0.7573342323303223,0.34099075198173523
44,3,0.7350127696990967,0.01740814745426178
45,4,0.7590879797935486,0.1354028284549713
46,4,0.7169962525367737,0.1499633640050888
47,5,0.7594069242477417,0.2071092575788498
48,2,0.7248086929321289,0.04418359696865082
49,3,0.7672193646430969,0.15511302649974823
50,3,0.7220980525016785,0.15895934402942657
51,4,0.7713648676872253,0.23566970229148865
52,3,0.7244898676872253,0.048049259930849075
53,4,0.7747130990028381,0.1317131519317627
54,4,0.7358099222183228,0.14153814315795898
55,5,0.7759884595870972,0.3396381437778473
56,3,0.7195472717285156,0.02857964113354683
57,4,0.7613202333450317,0.10943703353404999
58,4,0.7267219424247742,0.13677391409873962
